Name,Address,Accreditation Date
A & K Distributors PR LLC,"Hangar 403 Bromon DriveAguadilla, PR 00603",Reaccreditation in process
A-S Medication Solutions LLC,"1845 N Airport RdFremont, NE 68025",02/12/21
"A-S Medication Solutions, LLC","2401 Commerce DrLibertyville, IL 60048",07/25/22
"A.F. Hauser, Inc","4401 E U.S. Highway 30Valparaiso, IN 46383",08/02/22
A2A Integrated Logistics Inc,"1830 Owen Drive, Ste 10-2Fayetteville, NC 28304",04/13/21
AbbVie US LLC.,"1 N Waukegan RdNorth Chicago, IL 60064",Reaccreditation in process
Acey Rx LLC dba NDC Distributors,"4 Corporate DriveSuite DCranbury, NJ 08512",Reaccreditation in process
Akron Generics LLC dba ACRX,"47 Mall DriveCommack, NY 11725",04/01/23
"Alexso, Inc.","2317 Cotner AveLos Angeles, CA 90064",Reaccreditation in process
"ALK-Abello, Inc.","2 Channel DrivePort Washington, NY 11050",Reaccreditation in process
Alpine Health LLC,"601 Penhorn Ave, Unit 1Secaucus, NJ 07094",01/01/22
"Amatheon Animal Health, LLC dba Amatheon Pharmaceuticals","1301 NW 84th Ave, Ste 101AMiami, FL 33126",04/07/23
AMC Pharmacy Solutions Inc dba AMC Pharmacy Solutions,"185 W Netherwood Rd, Suite 2BOregon, WI 53575",02/17/21
AMD Medicom Inc,"6054 Shook Rd, Ste 200Lockbourne, OH 43137",06/28/21
"American Pharmaceutical Ingredients, LLC dba American Pharmaceutical Distributors","6650 Highland Road, Unit 302Waterford, MI 48327",10/22/21
"American Regent, Inc","5 Ramsey RoadShirley, NY 11967",Reaccreditation in process
"American Regent, Inc","26 Precision Drive Shirley, NY 11967",Reaccreditation in process
"American Regent, Inc. ","6610 New Albany Rd ENew Albany, OH 43054 ",08/19/22
Amerisource Health Services LLC dba American Health Packaging, OH ,Reaccreditation in process
AmerisourceBergen Drug Corporation, VA ,Reaccreditation in process
AmerisourceBergen Drug Corporation, PA ,Reaccreditation in process
AmerisourceBergen Drug Corporation, MA ,01/27/22
AmerisourceBergen Drug Corporation, IL ,07/16/22
AmerisourceBergen Drug Corporation, OH ,07/16/22
AmerisourceBergen Drug Corporation, CO ,12/17/22
AmerisourceBergen Drug Corporation, CA ,05/11/21
AmerisourceBergen Drug Corporation, UT ,05/26/21
AmerisourceBergen Drug Corporation, NC ,08/14/21
AmerisourceBergen Drug Corporation, MI ,03/01/22
AmerisourceBergen Drug Corporation, NY ,03/07/23
AmerisourceBergen Drug Corporation, KY ,03/01/22
AmerisourceBergen Drug Corporation, MN ,08/01/22
